,p_value
path:mmu05145,0.569244474922
path:mmu04261,0.10862442296
path:mmu00534,0.203179369475
path:mmu00531,0.538335469973
path:mmu00533,0.569882873701
path:mmu00532,0.504084485883
path:mmu02010,0.0115865395509
path:mmu04919,0.255541123492
path:mmu04918,0.485549073889
path:mmu03018,0.14370757245
path:mmu04913,0.318124974758
path:mmu04912,0.372673452024
path:mmu03015,0.314632017597
path:mmu04910,0.237941760742
path:mmu03013,0.00112268800671
path:mmu04916,0.0905145070377
path:mmu04915,0.176402490317
path:mmu03010,0.316710664362
path:mmu04210,0.155487779393
path:mmu04211,0.432962562371
path:mmu04213,0.563353459564
path:mmu04215,0.219135480991
path:mmu03420,0.161452385483
path:mmu05100,0.570435378723
path:mmu04360,0.05208423757
path:mmu01230,1.0
path:mmu00120,0.103184292164
path:mmu04932,0.166786684676
path:mmu04260,0.522180525391
path:mmu04070,0.176402490317
path:mmu00270,0.272317511367
path:mmu04110,0.0498821065528
path:mmu05222,0.311909933463
path:mmu00040,0.136902873461
path:mmu04115,0.234405606895
path:mmu04114,0.036024951838
path:mmu00604,0.317870546246
path:mmu00603,0.151296371003
path:mmu00601,0.393899169224
path:mmu00600,0.223131394629
path:mmu00524,0.132918324461
path:mmu00520,0.297193433851
path:mmu04620,0.166698976275
