,p_value,sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval,log2FC
Olfr1436,0.2134539708565128,1.0,1.0,1.0,0.5,0.5,0.26350527670228535,1.0,0.11608762739760387,0.12319722520402121,0.0164088808058
Zdhhc22,0.25960061119590966,1.0,1.0,1.0,0.5,0.5,0.3072484683896081,1.0,0.1353587532032445,0.1436485797457158,-0.00675087188822
Oscp1,4.561758227098469e-09,9.959646856450011e-05,9.42597287961755e-05,9.426417200476276e-05,9.426417200476276e-05,8.772261070710355e-05,8.502066540134359e-08,8.985376912022418e-07,3.7455976023427866e-08,3.974990631507995e-08,0.0461594934341
Veph1,0.000956820087361448,0.9999999991630114,0.9999991058922479,1.0,0.5,0.5,0.002863266183402899,0.030260320518399966,0.0012614160217162447,0.0013386693930015176,-0.0180458057462
Isx,0.0008218051433571995,0.999999983999894,0.9999944921792281,1.0,0.5,0.5,0.002518850623158724,0.026620377677973348,0.0011096832529158087,0.0011776439977222025,0.0250005289796
Pglyrp3,0.3192833321767887,1.0,1.0,1.0,0.5,0.5,0.3608731810611451,1.0,0.15898319724407597,0.16871986441285497,0.00260597379927
Tcf3,4.202999616077497e-05,0.6005641977048324,0.5131196040672912,0.7197216542571105,0.5,0.3754073990441485,0.00019446363638238272,0.0020551815965328484,8.567123378044056e-05,9.091802906270042e-05,0.0192421856089
Tbc1d25,0.4721142110140457,1.0,1.0,1.0,0.5,0.5,0.481419986183859,1.0,0.21209026505003847,0.2250793881544129,0.00134925896287
Odam,2.5867006402668754e-12,5.6478194565556805e-08,5.5898771833540195e-08,5.589860083616718e-08,5.589860083616718e-08,5.4856160478139626e-08,2.510134301314976e-10,2.6528259559768954e-09,1.1058432648323145e-10,1.1735688358181463e-10,-0.0623647010602
Fscb,0.011348241390270658,1.0,1.0,1.0,0.5,0.5,0.02356732570213945,0.24907039158360886,0.01038261912287622,0.011018485733260499,-0.0192279740248
