sidak_cor_pval,holm-sidak_cor_pval,holm_cor_pval,simes-hochberg_cor_pval,hommel_cor_pval,fdr_bh_cor_pval,fdr_by_cor_pval,fdr_tsbh_cor_pval,fdr_tsbky_cor_pval
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
0.0018833931952992877,0.0017205027887772228,0.0017219844784014586,0.0017217254554654777,0.0015171836770191754,9.953373432256954e-07,1.0519185119612768e-05,4.3849729341797036e-07,4.6535234649547595e-07
0.851766424665558,0.7667686284764597,1.0,0.5,0.49958008505637935,0.00036772231170687105,0.0038862593630021327,0.00016200059156858078,0.00017192205414193052
2.342684951583962e-07,2.305238906430418e-07,2.3052361745690185e-07,2.305128879424752e-07,2.250515650993026e-07,6.657274421873246e-10,7.035715329317093e-09,2.932871790052155e-10,3.1124907495614304e-10
0.015796279848301453,0.013942800507224296,0.014040909286174895,0.014040909286174895,0.011535218816283084,6.165232027819983e-06,6.51570218352577e-05,2.7161018079875617e-06,2.882445042740184e-06
1.0,1.0,1.0,0.5,0.5,0.38996393071086655,1.0,0.1717991687051308,0.18232072918794526
1.0,1.0,1.0,0.5,0.5,0.00944502923206064,0.09981943471568423,0.004161021168049432,0.004415856137391144
5.825858144625773e-05,5.537428251600751e-05,5.5375814932222714e-05,5.537047827584222e-05,5.199771144336839e-05,5.3508989115239474e-08,5.655077305171661e-07,2.357346186220979e-08,2.5017180167961716e-08
1.0,1.0,1.0,0.5,0.5,0.052103652998883074,0.5506554888487064,0.0229543390215378,0.024360140156540182
1.0,1.0,1.0,0.5,0.5,0.029217382250759285,0.30878280082427734,0.012871759634975432,0.013660069604926989
1.0,1.0,1.0,0.5,0.5,0.3637881308690477,1.0,0.1602673825606563,0.17008269756912733
1.0,1.0,1.0,0.5,0.5,0.21604124618567372,1.0,0.09517728071173379,0.10100625836713273
0.9867407537103821,0.9577347231200319,1.0,0.5,0.5,0.0007371464443331917,0.007790504356116468,0.0003247509227828603,0.0003446397645139532
1.0,1.0,1.0,0.5,0.5,0.4663705187631983,1.0,0.20546020060379247,0.21804327620163985
1.0,1.0,1.0,0.5,0.5,0.3884290194289752,1.0,0.17112296133953064,0.1816031086027719
1.0,1.0,1.0,0.5,0.5,0.24787255607769504,1.0,0.10920060991624754,0.11588842354569566
1.0,1.0,1.0,0.5,0.5,0.26350527670228535,1.0,0.11608762739760387,0.12319722520402121
1.0,1.0,1.0,0.5,0.5,0.3072484683896081,1.0,0.1353587532032445,0.1436485797457158
9.959646856450011e-05,9.42597287961755e-05,9.426417200476276e-05,9.426417200476276e-05,8.772261070710355e-05,8.502066540134359e-08,8.985376912022418e-07,3.7455976023427866e-08,3.974990631507995e-08
0.9999999991630114,0.9999991058922479,1.0,0.5,0.5,0.002863266183402899,0.030260320518399966,0.0012614160217162447,0.0013386693930015176
0.999999983999894,0.9999944921792281,1.0,0.5,0.5,0.002518850623158724,0.026620377677973348,0.0011096832529158087,0.0011776439977222025
1.0,1.0,1.0,0.5,0.5,0.3608731810611451,1.0,0.15898319724407597,0.16871986441285497
0.6005641977048324,0.5131196040672912,0.7197216542571105,0.5,0.3754073990441485,0.00019446363638238272,0.0020551815965328484,8.567123378044056e-05,9.091802906270042e-05
1.0,1.0,1.0,0.5,0.5,0.481419986183859,1.0,0.21209026505003847,0.2250793881544129
5.6478194565556805e-08,5.5898771833540195e-08,5.589860083616718e-08,5.589860083616718e-08,5.4856160478139626e-08,2.510134301314976e-10,2.6528259559768954e-09,1.1058432648323145e-10,1.1735688358181463e-10
1.0,1.0,1.0,0.5,0.5,0.02356732570213945,0.24907039158360886,0.01038261912287622,0.011018485733260499
5.166595615335723e-05,4.917902821244269e-05,4.918023855201091e-05,4.917550581481685e-05,4.6236476017309394e-05,4.879706946602403e-08,5.157099856659524e-07,2.1497618906003718e-08,2.281420558835394e-08
1.0,1.0,1.0,0.5,0.5,0.3731261838375098,1.0,0.1643812751824222,0.1744485388491199
1.0,1.0,1.0,0.5,0.5,0.11818410091025326,1.0,0.05206617507812248,0.05525488323266265
1.0,1.0,1.0,0.5,0.5,0.01676624885758874,0.1771934678175541,0.007386394969366406,0.007838762707847927
